i,j,val,ci,cj
0,4274,2.00e-04,x,T-shirt/top
1,2246,2.00e-04,a,Coat
2,2836,2.00e-04,x,Shirt
3,1510,2.00e-04,e,Coat
4,4806,2.00e-04,u,Ankle boot
5,3890,2.00e-04,m,Dress
6,2290,2.00e-04,l,Sandal
7,176,2.00e-04,v,Ankle boot
8,3102,2.00e-04,r,Shirt
9,3706,2.00e-04,f,Trouser
10,2330,2.00e-04,w,T-shirt/top
11,4618,2.00e-04,k,Trouser
12,4774,2.00e-04,l,Sandal
13,4653,2.00e-04,f,Dress
14,1918,2.00e-04,g,Shirt
15,3750,2.00e-04,x,Bag
16,1726,2.00e-04,b,Ankle boot
17,3254,2.00e-04,b,Ankle boot
18,3317,2.00e-04,m,Dress
19,3996,2.00e-04,c,Coat
20,2092,2.00e-04,b,Bag
21,4445,2.00e-04,z,Shirt
22,912,2.00e-04,o,Coat
23,4169,2.00e-04,f,Trouser
24,479,2.00e-04,m,Trouser
25,2670,2.00e-04,r,T-shirt/top
26,356,2.00e-04,c,Coat
27,2012,2.00e-04,i,Sneaker
28,1594,2.00e-04,c,Shirt
29,913,2.00e-04,g,Bag
30,4378,2.00e-04,u,T-shirt/top
31,2654,2.00e-04,k,T-shirt/top
32,3627,2.00e-04,a,Coat
33,4477,2.00e-04,i,Sneaker
34,4349,2.00e-04,o,Coat
35,1420,2.00e-04,e,Coat
36,4704,2.00e-04,v,T-shirt/top
37,3933,2.00e-04,e,Pullover
38,3983,2.00e-04,w,T-shirt/top
39,3856,2.00e-04,h,Sandal
40,4579,2.00e-04,q,Bag
41,88,2.00e-04,j,Sandal
42,2978,2.00e-04,e,Coat
43,2422,2.00e-04,p,Trouser
44,2879,2.00e-04,q,Bag
45,4511,2.00e-04,y,Sneaker
46,3411,2.00e-04,s,Bag
47,3849,2.00e-04,m,Dress
48,3892,2.00e-04,f,Trouser
49,3310,2.00e-04,v,Ankle boot
50,2592,2.00e-04,h,Ankle boot
51,4106,2.00e-04,s,Pullover
52,906,2.00e-04,q,Bag
53,1087,2.00e-04,k,T-shirt/top
54,4308,2.00e-04,i,Sneaker
55,3597,2.00e-04,r,T-shirt/top
56,3087,2.00e-04,q,Pullover
57,4616,2.00e-04,d,Ankle boot
58,3671,2.00e-04,b,Bag
59,1279,2.00e-04,j,Sandal
60,3174,2.00e-04,c,Pullover
61,4600,2.00e-04,r,Coat
62,3264,2.00e-04,e,Coat
63,2800,2.00e-04,a,Coat
64,4161,2.00e-04,h,Sandal
65,752,2.00e-04,g,Bag
66,4074,2.00e-04,d,Ankle boot
67,232,2.00e-04,d,Ankle boot
68,2617,2.00e-04,c,Pullover
69,4781,2.00e-04,o,Coat
70,1253,2.00e-04,x,Shirt
71,1350,2.00e-04,j,Sandal
72,3136,2.00e-04,o,Coat
73,4873,2.00e-04,t,Sneaker
74,541,2.00e-04,d,Ankle boot
75,150,2.00e-04,o,Coat
76,3908,2.00e-04,k,Trouser
77,4623,2.00e-04,y,Sandal
78,4503,2.00e-04,o,Coat
79,4350,2.00e-04,i,Sneaker
80,1574,2.00e-04,j,Sandal
81,3289,2.00e-04,c,Coat
82,3786,2.00e-04,y,Sandal
83,2646,2.00e-04,f,Trouser
84,3450,2.00e-04,x,Shirt
85,696,2.00e-04,y,Sneaker
86,4388,2.00e-04,l,Sneaker
87,3854,2.00e-04,j,Sandal
88,4709,2.00e-04,z,Shirt
89,4640,2.00e-04,m,Trouser
90,4247,2.00e-04,m,Dress
91,3709,2.00e-04,r,Trouser
92,4088,2.00e-04,h,Ankle boot
93,4539,2.00e-04,j,Sandal
94,1433,2.00e-04,j,Sandal
95,4043,2.00e-04,j,Sandal
