i,j,val,ci,cj
0,3855,2.00e-04,x,wo
1,3613,2.00e-04,a,re
2,1193,2.00e-04,x,wo
3,922,2.00e-04,e,tsu
4,3615,2.00e-04,u,na
5,170,2.00e-04,m,ma
6,3644,2.00e-04,l,ki
7,3574,2.00e-04,v,su
8,4684,2.00e-04,r,ha
9,3879,2.00e-04,f,su
10,4070,2.00e-04,w,ki
11,2332,2.00e-04,k,ki
12,2441,2.00e-04,l,ha
13,811,2.00e-04,f,re
14,4438,2.00e-04,g,na
15,2386,2.00e-04,x,wo
16,4108,2.00e-04,b,ya
17,4112,2.00e-04,b,ya
18,2595,2.00e-04,m,ma
19,716,2.00e-04,c,tsu
20,1151,2.00e-04,b,tsu
21,4389,2.00e-04,z,wo
22,1945,2.00e-04,o,ya
23,768,2.00e-04,f,re
24,1849,2.00e-04,m,ma
25,2533,2.00e-04,r,re
26,1924,2.00e-04,c,tsu
27,3186,2.00e-04,i,su
28,2357,2.00e-04,c,tsu
29,3162,2.00e-04,g,o
30,3228,2.00e-04,u,na
31,4399,2.00e-04,k,su
32,3322,2.00e-04,a,ma
33,3698,2.00e-04,i,re
34,2048,2.00e-04,o,ya
35,2187,2.00e-04,e,re
36,835,2.00e-04,v,wo
37,3254,2.00e-04,e,o
38,1695,2.00e-04,w,ki
39,855,2.00e-04,h,ma
40,2933,2.00e-04,q,na
41,3503,2.00e-04,j,ha
42,1667,2.00e-04,e,re
43,3902,2.00e-04,p,o
44,4341,2.00e-04,q,ya
45,3346,2.00e-04,y,wo
46,3769,2.00e-04,s,o
47,1996,2.00e-04,m,su
48,3533,2.00e-04,f,su
49,4227,2.00e-04,v,ma
50,4173,2.00e-04,h,su
51,4166,2.00e-04,s,ha
52,3323,2.00e-04,q,o
53,4216,2.00e-04,k,su
54,728,2.00e-04,i,ha
55,903,2.00e-04,r,ya
56,291,2.00e-04,q,na
57,3155,2.00e-04,d,tsu
58,4280,2.00e-04,b,tsu
59,1082,2.00e-04,j,o
60,2194,2.00e-04,c,tsu
61,4427,2.00e-04,r,ya
62,2294,2.00e-04,e,ha
63,620,2.00e-04,a,na
64,2123,2.00e-04,h,ma
65,1581,2.00e-04,g,tsu
66,1811,2.00e-04,d,ma
67,154,2.00e-04,d,o
68,4064,2.00e-04,c,ha
69,1320,2.00e-04,o,na
70,3292,2.00e-04,x,wo
71,3723,2.00e-04,j,o
72,302,2.00e-04,o,na
73,4996,2.00e-04,t,ya
74,497,2.00e-04,d,tsu
75,4823,2.00e-04,o,ya
76,3041,2.00e-04,k,re
77,3142,2.00e-04,y,wo
78,561,2.00e-04,o,na
79,4943,2.00e-04,i,su
80,1921,2.00e-04,j,ha
81,1011,2.00e-04,c,tsu
82,69,2.00e-04,y,wo
83,4414,2.00e-04,f,re
84,3933,2.00e-04,x,wo
85,4190,2.00e-04,y,wo
86,3642,2.00e-04,l,su
87,1168,2.00e-04,j,ha
88,3939,2.00e-04,z,wo
89,4050,2.00e-04,m,ma
90,2305,2.00e-04,m,ma
91,4979,2.00e-04,r,su
92,3655,2.00e-04,h,su
93,4435,2.00e-04,j,ha
94,2122,2.00e-04,j,ha
95,626,2.00e-04,j,tsu
96,4333,2.00e-04,l,ha
97,1806,2.00e-04,e,ma
98,3675,2.00e-04,c,tsu
99,3513,2.00e-04,r,re
100,192,2.00e-04,w,ma
101,2794,2.00e-04,e,na
102,4765,2.00e-04,z,ki
103,3479,2.00e-04,b,o
104,4837,2.00e-04,j,o
105,1123,2.00e-04,r,ha
106,1038,2.00e-04,s,tsu
107,3891,2.00e-04,j,ha
108,3251,2.00e-04,b,ya
109,4351,2.00e-04,r,ya
110,2165,2.00e-04,t,re
111,4579,2.00e-04,p,o
112,1841,2.00e-04,e,na
113,4754,2.00e-04,z,re
114,2372,2.00e-04,i,su
115,3858,2.00e-04,o,o
116,1194,2.00e-04,d,tsu
117,2935,2.00e-04,y,wo
118,1002,2.00e-04,w,na
119,2879,2.00e-04,l,ha
120,3115,2.00e-04,m,ma
121,3496,2.00e-04,i,ha
122,2369,2.00e-04,g,o
123,3721,2.00e-04,m,ma
124,3067,2.00e-04,a,ma
125,1377,2.00e-04,u,su
126,3386,2.00e-04,s,ha
127,3950,2.00e-04,i,wo
128,1370,2.00e-04,i,wo
129,1719,2.00e-04,e,re
130,3565,2.00e-04,y,wo
131,2107,2.00e-04,n,na
132,4821,2.00e-04,j,ha
133,86,2.00e-04,s,o
134,642,2.00e-04,f,re
135,859,2.00e-04,r,su
136,720,2.00e-04,t,su
137,614,2.00e-04,h,ma
138,2866,2.00e-04,v,su
139,4527,2.00e-04,z,wo
140,4297,2.00e-04,b,ya
141,4042,2.00e-04,u,na
142,3500,2.00e-04,l,su
143,4627,2.00e-04,g,ya
144,2250,2.00e-04,q,na
145,346,2.00e-04,d,ya
146,2865,2.00e-04,t,re
147,4528,2.00e-04,o,ya
148,4413,2.00e-04,h,ki
149,4781,2.00e-04,g,o
150,3986,2.00e-04,n,ma
151,851,2.00e-04,o,ya
152,1461,2.00e-04,a,ma
153,3111,2.00e-04,i,ha
154,1454,2.00e-04,x,wo
