i,j,val,ci,cj
0,4327,2.00e-04,x,8
1,3911,2.00e-04,a,2
2,1800,2.00e-04,x,8
3,2333,2.00e-04,e,0
4,671,2.00e-04,u,2
5,4372,2.00e-04,m,5
6,3769,2.00e-04,l,7
7,4196,2.00e-04,v,2
8,783,2.00e-04,r,5
9,4822,2.00e-04,f,1
10,3560,2.00e-04,w,3
11,4236,2.00e-04,k,3
12,2731,2.00e-04,l,7
13,4467,2.00e-04,f,1
14,663,2.00e-04,g,4
15,2730,2.00e-04,x,8
16,2924,2.00e-04,b,9
17,4137,2.00e-04,b,3
18,4609,2.00e-04,m,5
19,4679,2.00e-04,c,0
20,962,2.00e-04,b,4
21,292,2.00e-04,z,4
22,4731,2.00e-04,o,0
23,4140,2.00e-04,f,1
24,2164,2.00e-04,m,8
25,3704,2.00e-04,r,5
26,525,2.00e-04,c,0
27,4215,2.00e-04,i,4
28,164,2.00e-04,c,0
29,4252,2.00e-04,g,0
30,798,2.00e-04,u,7
31,3230,2.00e-04,k,5
32,1253,2.00e-04,a,2
33,4237,2.00e-04,i,4
34,4484,2.00e-04,o,0
35,3218,2.00e-04,e,0
36,271,2.00e-04,v,2
37,3245,2.00e-04,e,0
38,4100,2.00e-04,w,7
39,4926,2.00e-04,h,9
40,681,2.00e-04,q,6
41,3023,2.00e-04,j,4
42,4171,2.00e-04,e,0
43,3144,2.00e-04,p,9
44,4189,2.00e-04,q,6
45,4290,2.00e-04,y,9
46,2078,2.00e-04,s,0
47,4434,2.00e-04,m,8
48,3618,2.00e-04,f,9
49,3979,2.00e-04,v,7
50,2303,2.00e-04,h,9
51,3209,2.00e-04,s,4
52,4683,2.00e-04,q,6
53,4718,2.00e-04,k,3
54,1494,2.00e-04,i,1
55,4429,2.00e-04,r,5
56,112,2.00e-04,q,6
57,3774,2.00e-04,d,2
58,173,2.00e-04,b,0
59,4503,2.00e-04,j,2
60,2785,2.00e-04,c,0
61,2676,2.00e-04,r,8
62,3372,2.00e-04,e,5
63,4808,2.00e-04,a,6
64,1346,2.00e-04,h,1
65,2147,2.00e-04,g,0
66,4439,2.00e-04,d,2
67,4304,2.00e-04,d,2
68,1549,2.00e-04,c,0
69,3161,2.00e-04,o,0
70,60,2.00e-04,x,8
71,4400,2.00e-04,j,7
72,2244,2.00e-04,o,0
73,4398,2.00e-04,t,1
74,4489,2.00e-04,d,3
75,290,2.00e-04,o,6
76,849,2.00e-04,k,5
77,2514,2.00e-04,y,1
78,2621,2.00e-04,o,6
79,1590,2.00e-04,i,4
80,940,2.00e-04,j,7
81,3586,2.00e-04,c,0
82,2755,2.00e-04,y,4
83,4063,2.00e-04,f,1
84,3592,2.00e-04,x,9
85,4287,2.00e-04,y,1
86,4916,2.00e-04,l,7
87,3847,2.00e-04,j,2
88,4747,2.00e-04,z,3
89,3388,2.00e-04,m,1
90,3117,2.00e-04,m,5
91,4794,2.00e-04,r,8
92,4147,2.00e-04,h,9
93,2370,2.00e-04,j,7
94,46,2.00e-04,j,2
95,4347,2.00e-04,j,7
96,2324,2.00e-04,l,9
97,3002,2.00e-04,e,0
98,3063,2.00e-04,c,0
99,2506,2.00e-04,r,8
100,3822,2.00e-04,w,3
101,2665,2.00e-04,e,0
102,2227,2.00e-04,z,8
103,3184,2.00e-04,b,3
104,3422,2.00e-04,j,7
105,2168,2.00e-04,r,8
106,2250,2.00e-04,s,0
107,4734,2.00e-04,j,7
108,2857,2.00e-04,b,4
109,674,2.00e-04,r,8
110,2188,2.00e-04,t,4
111,4574,2.00e-04,p,1
112,3594,2.00e-04,e,0
113,199,2.00e-04,z,9
114,3571,2.00e-04,i,4
115,684,2.00e-04,o,0
116,4299,2.00e-04,d,2
117,2653,2.00e-04,y,1
118,3183,2.00e-04,w,3
119,4570,2.00e-04,l,7
120,29,2.00e-04,m,5
121,2357,2.00e-04,i,1
122,3405,2.00e-04,g,6
123,3844,2.00e-04,m,1
124,4618,2.00e-04,a,8
125,4094,2.00e-04,u,7
126,942,2.00e-04,s,6
127,3849,2.00e-04,i,1
128,4580,2.00e-04,i,4
129,4627,2.00e-04,e,0
130,2293,2.00e-04,y,8
131,1386,2.00e-04,n,6
132,2944,2.00e-04,j,7
133,3438,2.00e-04,s,0
134,3984,2.00e-04,f,9
135,2852,2.00e-04,r,5
136,2141,2.00e-04,t,1
137,4610,2.00e-04,h,9
138,4483,2.00e-04,v,9
139,3008,2.00e-04,z,4
140,767,2.00e-04,b,9
141,137,2.00e-04,u,7
142,3237,2.00e-04,l,3
143,4218,2.00e-04,g,4
144,467,2.00e-04,q,2
145,4344,2.00e-04,d,2
146,2851,2.00e-04,t,5
147,1106,2.00e-04,o,0
148,1805,2.00e-04,h,9
149,3177,2.00e-04,g,2
150,4361,2.00e-04,n,5
151,4696,2.00e-04,o,0
152,3812,2.00e-04,a,8
153,2498,2.00e-04,i,1
154,2797,2.00e-04,x,8
155,4017,2.00e-04,p,1
156,1119,2.00e-04,u,7
157,3267,2.00e-04,g,6
158,4821,2.00e-04,c,0
159,1485,2.00e-04,a,2
160,4022,2.00e-04,s,6
161,3740,2.00e-04,a,4
162,879,2.00e-04,d,2
163,3687,2.00e-04,p,1
164,697,2.00e-04,i,4
165,4493,2.00e-04,m,1
166,78,2.00e-04,t,1
167,1080,2.00e-04,u,7
168,2655,2.00e-04,z,4
169,3412,2.00e-04,n,6
170,102,2.00e-04,p,1
171,4598,2.00e-04,n,6
172,4297,2.00e-04,d,2
173,2875,2.00e-04,n,5
174,4208,2.00e-04,h,3
175,3968,2.00e-04,y,1
176,50,2.00e-04,v,2
177,1870,2.00e-04,i,4
178,4556,2.00e-04,f,9
179,4432,2.00e-04,s,0
180,1698,2.00e-04,x,8
181,3633,2.00e-04,y,1
182,4602,2.00e-04,n,2
183,853,2.00e-04,q,2
184,2728,2.00e-04,c,0
185,372,2.00e-04,u,2
186,3826,2.00e-04,u,2
