i,j,val,ci,cj
0,3752,2.00e-04,T-shirt/top,ki
1,3451,2.00e-04,T-shirt/top,na
2,4947,2.00e-04,Sandal,ha
3,4564,2.00e-04,Dress,ma
4,2408,2.00e-04,T-shirt/top,wo
5,3375,2.00e-04,Sandal,tsu
6,461,2.00e-04,Pullover,na
7,4881,2.00e-04,Dress,re
8,1281,2.00e-04,Ankle boot,ya
9,4336,2.00e-04,Dress,re
10,3278,2.00e-04,Pullover,na
11,4539,2.00e-04,Dress,ma
12,3724,2.00e-04,Trouser,ma
13,772,2.00e-04,Ankle boot,o
14,2166,2.00e-04,Sandal,o
15,4803,2.00e-04,Sandal,tsu
16,4836,2.00e-04,Sandal,ha
17,3314,2.00e-04,Bag,o
18,4890,2.00e-04,T-shirt/top,wo
19,1947,2.00e-04,Sandal,ha
20,3966,2.00e-04,Shirt,re
21,1230,2.00e-04,Trouser,ki
22,2189,2.00e-04,Sneaker,ha
23,2631,2.00e-04,Trouser,re
24,3587,2.00e-04,Ankle boot,o
25,3980,2.00e-04,Coat,re
26,4068,2.00e-04,Trouser,su
27,687,2.00e-04,Shirt,tsu
28,4889,2.00e-04,Sneaker,ya
29,3240,2.00e-04,Sandal,ha
30,4117,2.00e-04,Pullover,na
31,4743,2.00e-04,Pullover,wo
32,4258,2.00e-04,Shirt,wo
33,4620,2.00e-04,Pullover,na
34,4595,2.00e-04,Dress,ma
35,4304,2.00e-04,Coat,na
36,2996,2.00e-04,Sneaker,ya
37,3565,2.00e-04,T-shirt/top,wo
38,1882,2.00e-04,Trouser,su
39,4428,2.00e-04,Coat,re
40,4541,2.00e-04,Sneaker,ya
41,378,2.00e-04,T-shirt/top,na
42,1847,2.00e-04,Trouser,ma
43,559,2.00e-04,Bag,ha
44,2208,2.00e-04,T-shirt/top,wo
45,2506,2.00e-04,Ankle boot,o
46,3385,2.00e-04,Coat,na
47,656,2.00e-04,Sandal,ha
48,2032,2.00e-04,Pullover,na
49,1755,2.00e-04,Sneaker,ya
50,1276,2.00e-04,Sneaker,ha
51,3924,2.00e-04,Coat,re
52,3194,2.00e-04,Bag,o
53,3886,2.00e-04,Trouser,su
54,4324,2.00e-04,Dress,su
55,189,2.00e-04,Sneaker,ya
56,4019,2.00e-04,Sneaker,o
57,4975,2.00e-04,Sandal,tsu
58,346,2.00e-04,Sneaker,ya
59,2522,2.00e-04,Sandal,ha
60,3116,2.00e-04,Pullover,ya
61,4096,2.00e-04,Sneaker,ya
62,4116,2.00e-04,T-shirt/top,na
63,1325,2.00e-04,Shirt,re
64,4807,2.00e-04,Coat,na
65,4921,2.00e-04,Sneaker,ya
66,4925,2.00e-04,Coat,na
67,3263,2.00e-04,Sneaker,ya
68,2123,2.00e-04,Trouser,ma
69,2605,2.00e-04,Coat,re
70,2488,2.00e-04,Ankle boot,ha
71,1101,2.00e-04,Shirt,re
72,2440,2.00e-04,Coat,ma
73,4687,2.00e-04,Shirt,tsu
74,2250,2.00e-04,Pullover,na
75,4033,2.00e-04,Shirt,wo
76,2183,2.00e-04,Pullover,na
77,2441,2.00e-04,Bag,ha
78,3722,2.00e-04,Trouser,su
79,1161,2.00e-04,Sandal,tsu
80,2324,2.00e-04,Sandal,tsu
81,4655,2.00e-04,Dress,ma
82,4720,2.00e-04,Sneaker,o
83,3680,2.00e-04,Pullover,tsu
84,4964,2.00e-04,Shirt,wo
85,3205,2.00e-04,Pullover,ya
86,3942,2.00e-04,Sandal,o
87,3068,2.00e-04,Ankle boot,tsu
88,3111,2.00e-04,Sandal,ha
89,3702,2.00e-04,Shirt,re
90,4740,2.00e-04,Ankle boot,ma
91,518,2.00e-04,Ankle boot,o
92,4314,2.00e-04,Coat,na
93,3837,2.00e-04,Ankle boot,wo
94,4664,2.00e-04,Trouser,su
95,4547,2.00e-04,Ankle boot,tsu
96,448,2.00e-04,Sneaker,o
97,4567,2.00e-04,Shirt,re
98,4308,2.00e-04,Bag,o
99,3482,2.00e-04,Sandal,ha
100,3556,2.00e-04,Bag,o
101,392,2.00e-04,Coat,re
102,1535,2.00e-04,Sandal,ha
103,3370,2.00e-04,Sandal,ha
104,292,2.00e-04,Bag,ya
105,4012,2.00e-04,Pullover,na
106,1902,2.00e-04,Shirt,na
107,3185,2.00e-04,Sneaker,ya
108,3715,2.00e-04,Trouser,su
109,1906,2.00e-04,Pullover,na
110,1007,2.00e-04,Ankle boot,tsu
111,3908,2.00e-04,T-shirt/top,wo
112,3577,2.00e-04,Coat,re
113,3400,2.00e-04,Dress,ki
114,2856,2.00e-04,Sandal,ha
115,4299,2.00e-04,T-shirt/top,ya
116,988,2.00e-04,Sandal,tsu
117,4603,2.00e-04,T-shirt/top,na
118,1495,2.00e-04,Bag,o
119,181,2.00e-04,Sandal,ha
120,3678,2.00e-04,Sandal,ha
121,2669,2.00e-04,Sneaker,ya
122,4574,2.00e-04,Shirt,ki
123,1287,2.00e-04,Sandal,tsu
124,129,2.00e-04,Bag,o
125,1097,2.00e-04,Trouser,ki
126,2101,2.00e-04,Pullover,na
127,2973,2.00e-04,T-shirt/top,wo
128,4216,2.00e-04,Pullover,su
129,2115,2.00e-04,Sandal,ha
130,4842,2.00e-04,T-shirt/top,wo
131,4951,2.00e-04,Ankle boot,o
132,3677,2.00e-04,Dress,ma
133,4754,2.00e-04,Coat,re
134,2336,2.00e-04,Dress,su
