i,j,val,ci,cj
0,4040,2.00e-04,T-shirt/top,8
1,4576,2.00e-04,T-shirt/top,7
2,491,2.00e-04,Sandal,7
3,3887,2.00e-04,Dress,8
4,4638,2.00e-04,T-shirt/top,9
5,4940,2.00e-04,Sandal,1
6,1690,2.00e-04,Pullover,0
7,4903,2.00e-04,Dress,1
8,3194,2.00e-04,Ankle boot,2
9,4360,2.00e-04,Dress,1
10,3835,2.00e-04,Pullover,5
11,386,2.00e-04,Dress,8
12,4355,2.00e-04,Trouser,9
13,475,2.00e-04,Ankle boot,2
14,2893,2.00e-04,Sandal,7
15,2861,2.00e-04,Sandal,6
16,989,2.00e-04,Sandal,7
17,3932,2.00e-04,Bag,0
18,2730,2.00e-04,T-shirt/top,8
19,2383,2.00e-04,Sandal,7
20,4747,2.00e-04,Shirt,3
21,4777,2.00e-04,Trouser,1
22,3815,2.00e-04,Sneaker,1
23,1236,2.00e-04,Trouser,1
24,3570,2.00e-04,Ankle boot,2
25,3141,2.00e-04,Coat,0
26,4153,2.00e-04,Trouser,1
27,4798,2.00e-04,Shirt,5
28,4695,2.00e-04,Sneaker,4
29,2834,2.00e-04,Sandal,1
30,908,2.00e-04,Pullover,0
31,1085,2.00e-04,Pullover,0
32,2515,2.00e-04,Shirt,9
33,2847,2.00e-04,Pullover,0
34,2334,2.00e-04,Dress,9
35,527,2.00e-04,Coat,0
36,3340,2.00e-04,Sneaker,4
37,533,2.00e-04,T-shirt/top,9
38,2083,2.00e-04,Trouser,1
39,4268,2.00e-04,Coat,0
40,3633,2.00e-04,Sneaker,1
41,2962,2.00e-04,T-shirt/top,7
42,766,2.00e-04,Trouser,1
43,2582,2.00e-04,Bag,6
44,4335,2.00e-04,T-shirt/top,7
45,3775,2.00e-04,Ankle boot,2
46,4064,2.00e-04,Coat,0
47,4340,2.00e-04,Sandal,7
48,3787,2.00e-04,Pullover,0
49,1681,2.00e-04,Sneaker,4
50,4880,2.00e-04,Sneaker,4
51,4706,2.00e-04,Coat,0
52,3267,2.00e-04,Bag,6
53,1551,2.00e-04,Trouser,9
54,15,2.00e-04,Dress,8
55,2657,2.00e-04,Sneaker,4
56,4350,2.00e-04,Sneaker,4
57,4423,2.00e-04,Sandal,9
58,4122,2.00e-04,Sneaker,4
59,1412,2.00e-04,Sandal,7
60,2646,2.00e-04,Pullover,2
61,3391,2.00e-04,Sneaker,4
62,2306,2.00e-04,T-shirt/top,9
63,4889,2.00e-04,Shirt,3
64,1073,2.00e-04,Coat,5
65,3671,2.00e-04,Sneaker,4
66,3982,2.00e-04,Coat,5
67,2819,2.00e-04,Sneaker,4
68,2533,2.00e-04,Trouser,1
69,2333,2.00e-04,Coat,0
70,2988,2.00e-04,Ankle boot,2
71,4317,2.00e-04,Shirt,5
72,4954,2.00e-04,Coat,0
73,4840,2.00e-04,Shirt,5
74,1282,2.00e-04,Pullover,0
75,2482,2.00e-04,Shirt,5
76,3028,2.00e-04,Pullover,0
77,2130,2.00e-04,Bag,6
78,2526,2.00e-04,Trouser,1
79,3974,2.00e-04,Sandal,7
80,3529,2.00e-04,Sandal,7
81,2339,2.00e-04,Dress,9
82,3751,2.00e-04,Sneaker,1
83,4252,2.00e-04,Pullover,0
84,4266,2.00e-04,Shirt,3
85,3596,2.00e-04,Pullover,0
86,3231,2.00e-04,Sandal,3
87,2592,2.00e-04,Ankle boot,2
88,933,2.00e-04,Sandal,7
89,3396,2.00e-04,Shirt,3
90,4403,2.00e-04,Ankle boot,2
91,3018,2.00e-04,Ankle boot,2
92,1303,2.00e-04,Coat,5
93,424,2.00e-04,Ankle boot,2
94,4881,2.00e-04,Trouser,1
95,3184,2.00e-04,Ankle boot,3
96,3390,2.00e-04,Sneaker,4
97,1645,2.00e-04,Shirt,3
98,3711,2.00e-04,Bag,0
99,903,2.00e-04,Sandal,6
100,4193,2.00e-04,Bag,6
101,1567,2.00e-04,Coat,0
102,1632,2.00e-04,Sandal,7
103,3754,2.00e-04,Sandal,1
104,643,2.00e-04,Bag,0
105,2310,2.00e-04,Pullover,0
106,4830,2.00e-04,Shirt,3
107,774,2.00e-04,Sneaker,4
108,2818,2.00e-04,Trouser,7
109,91,2.00e-04,Pullover,0
110,955,2.00e-04,Ankle boot,2
111,2721,2.00e-04,T-shirt/top,7
112,3287,2.00e-04,Coat,0
113,4587,2.00e-04,Dress,1
114,2758,2.00e-04,Sandal,7
115,827,2.00e-04,T-shirt/top,9
116,4095,2.00e-04,Sandal,7
117,3848,2.00e-04,T-shirt/top,9
118,914,2.00e-04,Bag,0
119,2777,2.00e-04,Sandal,6
120,1013,2.00e-04,Sandal,7
121,4640,2.00e-04,Sneaker,4
122,4682,2.00e-04,Shirt,3
123,4240,2.00e-04,Sandal,3
124,2072,2.00e-04,Bag,6
125,2371,2.00e-04,Trouser,9
126,4701,2.00e-04,Pullover,0
127,797,2.00e-04,T-shirt/top,9
128,3668,2.00e-04,Pullover,0
129,3494,2.00e-04,Sandal,7
130,2332,2.00e-04,T-shirt/top,8
131,3363,2.00e-04,Ankle boot,2
132,2702,2.00e-04,Dress,8
133,510,2.00e-04,Coat,0
134,4295,2.00e-04,Dress,9
135,2480,2.00e-04,Trouser,1
136,2002,2.00e-04,T-shirt/top,9
137,3132,2.00e-04,Coat,0
138,4765,2.00e-04,Trouser,1
139,4575,2.00e-04,Sandal,7
140,823,2.00e-04,Sneaker,4
141,1564,2.00e-04,Pullover,0
142,3920,2.00e-04,Ankle boot,3
143,3859,2.00e-04,Bag,0
144,4077,2.00e-04,Dress,1
145,156,2.00e-04,Trouser,1
146,3582,2.00e-04,Pullover,3
147,1630,2.00e-04,Dress,7
148,4661,2.00e-04,Trouser,9
149,3408,2.00e-04,Sneaker,4
150,270,2.00e-04,Coat,5
151,2928,2.00e-04,Pullover,0
152,4651,2.00e-04,Coat,3
153,3654,2.00e-04,Sneaker,4
154,3930,2.00e-04,T-shirt/top,3
155,4085,2.00e-04,Sandal,6
156,1785,2.00e-04,Sneaker,4
157,4549,2.00e-04,Sneaker,4
158,3933,2.00e-04,Sandal,7
159,4636,2.00e-04,Coat,5
160,4658,2.00e-04,Ankle boot,3
161,2281,2.00e-04,Coat,0
162,295,2.00e-04,T-shirt/top,8
163,4475,2.00e-04,Sandal,7
164,3549,2.00e-04,Ankle boot,2
165,2955,2.00e-04,Sandal,7
166,4149,2.00e-04,T-shirt/top,3
167,3113,2.00e-04,Pullover,0
168,2640,2.00e-04,T-shirt/top,5
169,2157,2.00e-04,Sneaker,9
170,1286,2.00e-04,Dress,8
171,4107,2.00e-04,Coat,0
172,789,2.00e-04,Bag,0
173,2460,2.00e-04,Trouser,9
174,3440,2.00e-04,T-shirt/top,9
175,3999,2.00e-04,Trouser,9
176,2056,2.00e-04,Ankle boot,2
177,3415,2.00e-04,Trouser,9
178,4221,2.00e-04,Coat,0
179,3975,2.00e-04,Pullover,0
180,1327,2.00e-04,Trouser,1
181,3425,2.00e-04,Sneaker,9
182,3581,2.00e-04,Dress,1
183,1055,2.00e-04,Trouser,1
184,4326,2.00e-04,Sneaker,4
185,1732,2.00e-04,Bag,6
186,4528,2.00e-04,Sneaker,4
187,3828,2.00e-04,Sneaker,4
188,4775,2.00e-04,Trouser,8
189,967,2.00e-04,Dress,1
190,2503,2.00e-04,Pullover,0
191,4746,2.00e-04,Shirt,5
192,3972,2.00e-04,Bag,6
193,4005,2.00e-04,Bag,6
194,4133,2.00e-04,T-shirt/top,8
195,1585,2.00e-04,T-shirt/top,8
196,4216,2.00e-04,Trouser,1
197,4480,2.00e-04,Coat,5
198,798,2.00e-04,Sandal,7
199,4670,2.00e-04,Dress,1
200,4457,2.00e-04,Sneaker,4
201,4029,2.00e-04,Bag,6
202,3452,2.00e-04,Coat,0
203,4178,2.00e-04,Dress,8
204,892,2.00e-04,Shirt,3
205,4356,2.00e-04,Coat,0
206,377,2.00e-04,Sandal,7
207,0,2.00e-04,Bag,6
208,4031,2.00e-04,Bag,0
209,3923,2.00e-04,Dress,8
210,1633,2.00e-04,Pullover,0
211,963,2.00e-04,Pullover,0
212,1612,2.00e-04,Sneaker,4
213,3446,2.00e-04,Shirt,3
214,4290,2.00e-04,Dress,9
215,2747,2.00e-04,Sneaker,4
216,108,2.00e-04,Sneaker,4
217,3207,2.00e-04,Dress,5
218,4431,2.00e-04,Trouser,7
219,4757,2.00e-04,Bag,6
220,4372,2.00e-04,Shirt,5
221,4345,2.00e-04,Sneaker,9
222,4027,2.00e-04,Sneaker,4
223,524,2.00e-04,Shirt,5
224,2289,2.00e-04,Sandal,7
225,4282,2.00e-04,Sneaker,1
226,4391,2.00e-04,Trouser,1
227,434,2.00e-04,Bag,6
228,1756,2.00e-04,Coat,2
229,2574,2.00e-04,Dress,9
230,3790,2.00e-04,Sandal,1
231,448,2.00e-04,Dress,9
232,3797,2.00e-04,Ankle boot,2
233,856,2.00e-04,Dress,1
234,1623,2.00e-04,Dress,1
235,4357,2.00e-04,Sandal,6
236,4399,2.00e-04,Ankle boot,3
237,4265,2.00e-04,Trouser,1
238,2890,2.00e-04,Coat,3
239,1781,2.00e-04,Dress,9
240,403,2.00e-04,Shirt,3
241,4999,2.00e-04,Dress,1
242,3605,2.00e-04,Sneaker,4
243,3169,2.00e-04,T-shirt/top,8
244,2609,2.00e-04,Ankle boot,2
245,4819,2.00e-04,Ankle boot,3
246,1466,2.00e-04,Sneaker,4
247,2892,2.00e-04,Trouser,1
248,1526,2.00e-04,Sandal,7
249,4851,2.00e-04,Pullover,0
250,3985,2.00e-04,Sandal,7
251,4675,2.00e-04,Coat,6
252,3537,2.00e-04,Ankle boot,2
253,2423,2.00e-04,Trouser,1
254,4445,2.00e-04,Trouser,1
255,1867,2.00e-04,Sandal,7
256,505,2.00e-04,Bag,0
257,2441,2.00e-04,Ankle boot,2
258,3439,2.00e-04,Sandal,7
259,3589,2.00e-04,Ankle boot,2
260,3356,2.00e-04,T-shirt/top,8
261,677,2.00e-04,Bag,6
262,2898,2.00e-04,T-shirt/top,8
263,3362,2.00e-04,Pullover,0
264,2670,2.00e-04,Coat,0
265,4652,2.00e-04,Trouser,1
