i,j,val,ci,cj
0,2869,2.00e-04,ki,7
1,1666,2.00e-04,na,6
2,4802,2.00e-04,ha,0
3,4580,2.00e-04,ya,4
4,4744,2.00e-04,tsu,3
5,1053,2.00e-04,ha,0
6,4381,2.00e-04,ma,1
7,4872,2.00e-04,re,2
8,583,2.00e-04,su,7
9,804,2.00e-04,tsu,5
10,4387,2.00e-04,wo,8
11,4766,2.00e-04,na,6
12,3692,2.00e-04,ha,0
13,2909,2.00e-04,tsu,3
14,3838,2.00e-04,ha,0
15,2651,2.00e-04,re,3
16,3787,2.00e-04,ha,0
17,3454,2.00e-04,su,9
18,3364,2.00e-04,ki,1
19,3420,2.00e-04,ma,9
20,4641,2.00e-04,ha,0
21,2430,2.00e-04,o,2
22,4520,2.00e-04,su,1
23,3021,2.00e-04,wo,8
24,441,2.00e-04,o,0
25,3996,2.00e-04,wo,8
26,1425,2.00e-04,ha,0
27,4905,2.00e-04,ma,1
28,4245,2.00e-04,na,5
29,4809,2.00e-04,wo,8
30,3557,2.00e-04,na,6
31,3643,2.00e-04,su,1
32,1021,2.00e-04,na,6
33,2300,2.00e-04,ha,0
34,4705,2.00e-04,su,1
35,4591,2.00e-04,wo,8
36,4325,2.00e-04,na,6
37,3159,2.00e-04,ya,4
38,3124,2.00e-04,re,2
39,4649,2.00e-04,na,6
40,2631,2.00e-04,su,9
41,2365,2.00e-04,su,7
42,1018,2.00e-04,o,0
43,2852,2.00e-04,ha,5
44,3835,2.00e-04,re,5
45,4923,2.00e-04,o,6
46,3769,2.00e-04,su,7
47,920,2.00e-04,o,6
48,48,2.00e-04,wo,8
49,4427,2.00e-04,o,6
50,2753,2.00e-04,o,4
51,3247,2.00e-04,su,9
52,560,2.00e-04,wo,9
53,3587,2.00e-04,re,2
54,4039,2.00e-04,re,6
55,3361,2.00e-04,re,2
56,635,2.00e-04,ha,0
57,2405,2.00e-04,ya,9
58,4300,2.00e-04,wo,8
59,575,2.00e-04,tsu,0
60,4781,2.00e-04,su,1
61,4846,2.00e-04,wo,7
62,1341,2.00e-04,tsu,0
63,361,2.00e-04,re,6
64,2081,2.00e-04,o,2
65,1881,2.00e-04,su,1
66,705,2.00e-04,ya,4
67,2707,2.00e-04,re,5
68,4886,2.00e-04,re,1
69,634,2.00e-04,wo,8
70,4154,2.00e-04,ya,9
71,2737,2.00e-04,ma,1
72,2471,2.00e-04,wo,8
73,4843,2.00e-04,tsu,7
74,174,2.00e-04,ki,1
