i,j,val,ci,cj
0,3769,2.00e-04,8 - eight,k
1,1575,2.00e-04,8 - eight,k
2,2817,2.00e-04,0 - zero,c
3,1800,2.00e-04,1 - one,y
4,1564,2.00e-04,0 - zero,c
5,3850,2.00e-04,8 - eight,x
6,3274,2.00e-04,5 - five,b
7,52,2.00e-04,2 - two,q
8,4036,2.00e-04,6 - six,e
9,591,2.00e-04,7 - seven,h
10,3045,2.00e-04,7 - seven,h
11,1809,2.00e-04,2 - two,g
12,2765,2.00e-04,7 - seven,h
13,3138,2.00e-04,3 - three,q
14,4417,2.00e-04,5 - five,d
15,1706,2.00e-04,0 - zero,e
16,4529,2.00e-04,6 - six,d
17,4596,2.00e-04,0 - zero,c
18,3528,2.00e-04,9 - nine,i
19,3233,2.00e-04,7 - seven,g
20,3666,2.00e-04,1 - one,p
21,2955,2.00e-04,4 - four,j
22,1813,2.00e-04,5 - five,n
23,1959,2.00e-04,4 - four,j
24,4257,2.00e-04,2 - two,u
25,3120,2.00e-04,4 - four,x
26,4756,2.00e-04,9 - nine,i
27,4052,2.00e-04,6 - six,j
28,2387,2.00e-04,8 - eight,x
29,3318,2.00e-04,8 - eight,m
30,2532,2.00e-04,7 - seven,l
31,4605,2.00e-04,9 - nine,i
32,1131,2.00e-04,7 - seven,h
33,2403,2.00e-04,3 - three,u
34,652,2.00e-04,8 - eight,y
35,1233,2.00e-04,6 - six,j
36,3558,2.00e-04,5 - five,r
37,3897,2.00e-04,7 - seven,b
38,4852,2.00e-04,3 - three,w
39,4837,2.00e-04,4 - four,i
40,1552,2.00e-04,0 - zero,c
41,4223,2.00e-04,6 - six,k
42,734,2.00e-04,4 - four,j
43,3488,2.00e-04,0 - zero,o
44,1149,2.00e-04,1 - one,i
45,2306,2.00e-04,3 - three,n
46,1146,2.00e-04,8 - eight,b
47,1592,2.00e-04,7 - seven,v
48,4187,2.00e-04,4 - four,y
49,3467,2.00e-04,2 - two,u
50,4374,2.00e-04,7 - seven,b
51,2237,2.00e-04,4 - four,i
52,1256,2.00e-04,7 - seven,k
53,3181,2.00e-04,9 - nine,g
54,2556,2.00e-04,1 - one,z
55,3603,2.00e-04,4 - four,j
56,4901,2.00e-04,7 - seven,p
57,3311,2.00e-04,4 - four,z
58,2402,2.00e-04,7 - seven,h
59,1857,2.00e-04,0 - zero,e
60,4404,2.00e-04,8 - eight,m
61,177,2.00e-04,9 - nine,i
62,4015,2.00e-04,7 - seven,p
63,4454,2.00e-04,1 - one,j
64,2757,2.00e-04,3 - three,w
65,460,2.00e-04,1 - one,z
66,4025,2.00e-04,6 - six,b
67,994,2.00e-04,7 - seven,h
68,1105,2.00e-04,7 - seven,l
69,4237,2.00e-04,1 - one,f
70,1488,2.00e-04,1 - one,j
71,3304,2.00e-04,4 - four,i
72,3041,2.00e-04,9 - nine,g
73,2070,2.00e-04,7 - seven,r
74,4128,2.00e-04,2 - two,u
75,1073,2.00e-04,5 - five,n
76,4739,2.00e-04,6 - six,a
77,1825,2.00e-04,4 - four,z
78,2009,2.00e-04,4 - four,y
