i,j,val,ci,cj
0,4078,2.00e-04,8 - eight,Dress
1,4923,2.00e-04,8 - eight,Dress
2,4880,2.00e-04,0 - zero,Coat
3,4222,2.00e-04,1 - one,Ankle boot
4,3146,2.00e-04,0 - zero,Coat
5,4386,2.00e-04,8 - eight,T-shirt/top
6,4778,2.00e-04,5 - five,T-shirt/top
7,4870,2.00e-04,2 - two,Ankle boot
8,2362,2.00e-04,6 - six,Dress
9,2054,2.00e-04,7 - seven,Trouser
10,3821,2.00e-04,7 - seven,Shirt
11,3622,2.00e-04,2 - two,Bag
12,4376,2.00e-04,7 - seven,Shirt
13,3615,2.00e-04,3 - three,Ankle boot
14,2016,2.00e-04,5 - five,Bag
15,3465,2.00e-04,0 - zero,Coat
16,4239,2.00e-04,6 - six,Dress
17,4652,2.00e-04,0 - zero,Coat
18,1132,2.00e-04,9 - nine,Trouser
19,20,2.00e-04,7 - seven,Shirt
20,2754,2.00e-04,1 - one,Trouser
21,2372,2.00e-04,4 - four,Sneaker
22,2330,2.00e-04,5 - five,T-shirt/top
23,268,2.00e-04,4 - four,Sneaker
24,1575,2.00e-04,2 - two,Ankle boot
25,1789,2.00e-04,4 - four,Sneaker
26,4971,2.00e-04,9 - nine,Trouser
27,25,2.00e-04,6 - six,Coat
28,4988,2.00e-04,8 - eight,Dress
29,3747,2.00e-04,8 - eight,T-shirt/top
30,1757,2.00e-04,7 - seven,T-shirt/top
31,3942,2.00e-04,9 - nine,Trouser
32,3387,2.00e-04,7 - seven,Shirt
33,1007,2.00e-04,3 - three,Ankle boot
34,4448,2.00e-04,8 - eight,T-shirt/top
35,3874,2.00e-04,6 - six,Coat
36,531,2.00e-04,5 - five,Ankle boot
37,73,2.00e-04,7 - seven,Shirt
38,1335,2.00e-04,3 - three,Pullover
39,4542,2.00e-04,4 - four,Sneaker
40,3695,2.00e-04,0 - zero,Coat
41,2632,2.00e-04,6 - six,Dress
42,4084,2.00e-04,4 - four,Bag
43,264,2.00e-04,0 - zero,Coat
44,4470,2.00e-04,1 - one,Sandal
45,4198,2.00e-04,3 - three,Ankle boot
