i,j,val,ci,cj
0,4205,2.00e-04,8 - eight,re
1,2673,2.00e-04,8 - eight,wo
2,4171,2.00e-04,0 - zero,ha
3,3013,2.00e-04,1 - one,ma
4,1189,2.00e-04,0 - zero,tsu
5,3248,2.00e-04,8 - eight,ma
6,4372,2.00e-04,5 - five,ya
7,3563,2.00e-04,2 - two,o
8,4616,2.00e-04,6 - six,ha
9,4128,2.00e-04,7 - seven,ki
10,3886,2.00e-04,7 - seven,su
11,3132,2.00e-04,2 - two,o
12,185,2.00e-04,7 - seven,tsu
13,1093,2.00e-04,3 - three,ki
14,1194,2.00e-04,5 - five,tsu
15,3681,2.00e-04,0 - zero,ha
16,1299,2.00e-04,6 - six,su
17,2,2.00e-04,0 - zero,ha
18,2031,2.00e-04,9 - nine,ma
19,3171,2.00e-04,7 - seven,na
20,4020,2.00e-04,1 - one,ha
21,3920,2.00e-04,4 - four,o
22,2734,2.00e-04,5 - five,ya
23,4108,2.00e-04,4 - four,ya
24,3788,2.00e-04,2 - two,re
25,4019,2.00e-04,4 - four,o
26,1815,2.00e-04,9 - nine,ya
27,4068,2.00e-04,6 - six,su
28,4886,2.00e-04,8 - eight,wo
29,143,2.00e-04,8 - eight,wo
30,1421,2.00e-04,7 - seven,ma
31,2092,2.00e-04,9 - nine,su
32,202,2.00e-04,7 - seven,na
33,3699,2.00e-04,3 - three,ki
34,602,2.00e-04,8 - eight,wo
35,3420,2.00e-04,6 - six,su
36,10,2.00e-04,5 - five,wo
37,3188,2.00e-04,7 - seven,ya
38,1456,2.00e-04,3 - three,ki
39,3468,2.00e-04,4 - four,o
40,3570,2.00e-04,0 - zero,o
41,2905,2.00e-04,6 - six,su
42,4520,2.00e-04,4 - four,ya
43,4728,2.00e-04,0 - zero,ha
44,4474,2.00e-04,1 - one,ha
45,3337,2.00e-04,3 - three,ki
46,2233,2.00e-04,8 - eight,wo
47,614,2.00e-04,7 - seven,ma
48,1282,2.00e-04,4 - four,wo
49,721,2.00e-04,2 - two,na
50,4157,2.00e-04,7 - seven,na
51,3728,2.00e-04,4 - four,ha
52,1260,2.00e-04,7 - seven,ki
53,2659,2.00e-04,9 - nine,re
54,3364,2.00e-04,1 - one,tsu
55,2846,2.00e-04,4 - four,o
56,4317,2.00e-04,7 - seven,tsu
57,2938,2.00e-04,4 - four,re
58,3069,2.00e-04,7 - seven,na
59,3858,2.00e-04,0 - zero,o
60,1516,2.00e-04,8 - eight,wo
61,4535,2.00e-04,9 - nine,re
62,51,2.00e-04,7 - seven,su
63,4481,2.00e-04,1 - one,ma
64,18,2.00e-04,3 - three,ki
65,2437,2.00e-04,1 - one,su
66,2487,2.00e-04,6 - six,su
67,1246,2.00e-04,7 - seven,tsu
68,1036,2.00e-04,7 - seven,na
69,775,2.00e-04,1 - one,su
70,504,2.00e-04,1 - one,ha
71,542,2.00e-04,4 - four,o
72,183,2.00e-04,9 - nine,ya
73,1555,2.00e-04,7 - seven,na
74,2198,2.00e-04,2 - two,re
75,558,2.00e-04,5 - five,tsu
76,4843,2.00e-04,6 - six,su
77,1855,2.00e-04,4 - four,o
78,4179,2.00e-04,4 - four,wo
79,851,2.00e-04,8 - eight,ya
80,2564,2.00e-04,1 - one,re
81,4601,2.00e-04,9 - nine,ma
82,998,2.00e-04,6 - six,ha
83,254,2.00e-04,6 - six,ya
84,4278,2.00e-04,1 - one,ha
85,3021,2.00e-04,8 - eight,ma
86,917,2.00e-04,7 - seven,na
87,3765,2.00e-04,3 - three,ki
88,2526,2.00e-04,0 - zero,ha
89,1538,2.00e-04,8 - eight,wo
90,1222,2.00e-04,6 - six,re
91,3726,2.00e-04,1 - one,re
92,4096,2.00e-04,6 - six,ya
93,421,2.00e-04,1 - one,ma
94,54,2.00e-04,4 - four,re
95,1544,2.00e-04,6 - six,ha
96,1150,2.00e-04,3 - three,ki
97,373,2.00e-04,5 - five,ya
98,3906,2.00e-04,0 - zero,ha
99,2256,2.00e-04,6 - six,re
100,97,2.00e-04,8 - eight,wo
