i,j,val,ci,cj
0,2502,2.00e-04,8 - eight,8
1,2131,2.00e-04,8 - eight,8
2,4852,2.00e-04,0 - zero,0
3,3961,2.00e-04,1 - one,1
4,4650,2.00e-04,0 - zero,0
5,3365,2.00e-04,8 - eight,8
6,3344,2.00e-04,5 - five,5
7,3876,2.00e-04,2 - two,2
8,2420,2.00e-04,6 - six,6
9,3526,2.00e-04,7 - seven,7
10,1136,2.00e-04,7 - seven,7
11,531,2.00e-04,2 - two,2
12,1433,2.00e-04,7 - seven,7
13,4418,2.00e-04,3 - three,0
14,2830,2.00e-04,5 - five,0
15,1848,2.00e-04,0 - zero,0
16,3445,2.00e-04,6 - six,6
17,4113,2.00e-04,0 - zero,0
18,2157,2.00e-04,9 - nine,9
19,1034,2.00e-04,7 - seven,7
20,1871,2.00e-04,1 - one,1
21,3992,2.00e-04,4 - four,9
22,2218,2.00e-04,5 - five,3
23,4545,2.00e-04,4 - four,7
24,1253,2.00e-04,2 - two,2
25,3879,2.00e-04,4 - four,4
26,2593,2.00e-04,9 - nine,5
27,214,2.00e-04,6 - six,6
28,3231,2.00e-04,8 - eight,3
29,3577,2.00e-04,8 - eight,8
30,3466,2.00e-04,7 - seven,7
31,2530,2.00e-04,9 - nine,9
32,2595,2.00e-04,7 - seven,7
33,4266,2.00e-04,3 - three,3
34,1999,2.00e-04,8 - eight,8
35,4288,2.00e-04,6 - six,6
36,783,2.00e-04,5 - five,5
37,199,2.00e-04,7 - seven,9
38,4582,2.00e-04,3 - three,3
39,2509,2.00e-04,4 - four,4
40,4550,2.00e-04,0 - zero,0
41,3972,2.00e-04,6 - six,6
42,705,2.00e-04,4 - four,4
43,1273,2.00e-04,0 - zero,0
44,3432,2.00e-04,1 - one,1
45,3482,2.00e-04,3 - three,3
46,1587,2.00e-04,8 - eight,8
47,3914,2.00e-04,7 - seven,7
48,2565,2.00e-04,4 - four,4
49,3374,2.00e-04,2 - two,2
50,2991,2.00e-04,7 - seven,7
51,4909,2.00e-04,4 - four,4
52,1654,2.00e-04,7 - seven,7
53,2879,2.00e-04,9 - nine,0
54,4052,2.00e-04,1 - one,1
55,2931,2.00e-04,4 - four,4
56,2486,2.00e-04,7 - seven,5
57,3938,2.00e-04,4 - four,4
58,279,2.00e-04,7 - seven,9
59,4701,2.00e-04,0 - zero,0
60,2886,2.00e-04,8 - eight,8
61,3184,2.00e-04,9 - nine,3
62,2909,2.00e-04,7 - seven,3
63,4617,2.00e-04,1 - one,1
64,3869,2.00e-04,3 - three,3
65,4130,2.00e-04,1 - one,1
66,4594,2.00e-04,6 - six,1
67,2472,2.00e-04,7 - seven,7
68,3436,2.00e-04,7 - seven,7
69,3744,2.00e-04,1 - one,1
70,3760,2.00e-04,1 - one,1
71,2429,2.00e-04,4 - four,4
72,4291,2.00e-04,9 - nine,9
73,757,2.00e-04,7 - seven,7
74,3174,2.00e-04,2 - two,2
75,3301,2.00e-04,5 - five,0
76,4785,2.00e-04,6 - six,6
77,2534,2.00e-04,4 - four,9
78,2058,2.00e-04,4 - four,4
79,1533,2.00e-04,8 - eight,8
80,1704,2.00e-04,1 - one,1
81,1204,2.00e-04,9 - nine,1
82,4644,2.00e-04,6 - six,6
83,3383,2.00e-04,6 - six,6
84,1377,2.00e-04,1 - one,1
85,111,2.00e-04,8 - eight,8
86,1001,2.00e-04,7 - seven,7
87,4666,2.00e-04,3 - three,3
88,518,2.00e-04,0 - zero,0
89,1658,2.00e-04,8 - eight,8
90,2263,2.00e-04,6 - six,1
91,1881,2.00e-04,1 - one,1
92,2049,2.00e-04,6 - six,6
93,4886,2.00e-04,1 - one,1
94,2039,2.00e-04,4 - four,3
95,4366,2.00e-04,6 - six,6
96,3232,2.00e-04,3 - three,3
97,854,2.00e-04,5 - five,5
98,2415,2.00e-04,0 - zero,0
99,291,2.00e-04,6 - six,6
100,4137,2.00e-04,8 - eight,3
101,4748,2.00e-04,6 - six,6
102,2692,2.00e-04,1 - one,1
103,2056,2.00e-04,2 - two,2
104,2798,2.00e-04,2 - two,2
105,4768,2.00e-04,6 - six,6
106,4491,2.00e-04,3 - three,0
107,123,2.00e-04,2 - two,2
108,4653,2.00e-04,3 - three,3
109,4221,2.00e-04,0 - zero,0
110,2480,2.00e-04,9 - nine,1
111,473,2.00e-04,0 - zero,0
112,2736,2.00e-04,4 - four,4
113,2757,2.00e-04,4 - four,4
114,2044,2.00e-04,7 - seven,7
115,1824,2.00e-04,8 - eight,8
116,3999,2.00e-04,9 - nine,9
117,4124,2.00e-04,7 - seven,5
118,3602,2.00e-04,7 - seven,7
119,2412,2.00e-04,9 - nine,9
120,2084,2.00e-04,7 - seven,9
121,4428,2.00e-04,4 - four,4
122,3659,2.00e-04,2 - two,2
123,1575,2.00e-04,9 - nine,9
124,2467,2.00e-04,8 - eight,8
125,2174,2.00e-04,8 - eight,8
126,3656,2.00e-04,7 - seven,9
127,3303,2.00e-04,8 - eight,8
128,1036,2.00e-04,1 - one,1
129,1866,2.00e-04,4 - four,4
130,4667,2.00e-04,1 - one,1
131,3155,2.00e-04,4 - four,4
132,4076,2.00e-04,7 - seven,9
133,4602,2.00e-04,2 - two,2
134,4169,2.00e-04,2 - two,2
135,4987,2.00e-04,7 - seven,9
136,3670,2.00e-04,6 - six,6
137,3085,2.00e-04,2 - two,2
138,2140,2.00e-04,1 - one,1
139,4333,2.00e-04,5 - five,5
140,4335,2.00e-04,7 - seven,7
141,2382,2.00e-04,7 - seven,9
142,4467,2.00e-04,1 - one,1
143,2746,2.00e-04,7 - seven,7
144,944,2.00e-04,2 - two,2
145,2234,2.00e-04,3 - three,5
146,2956,2.00e-04,9 - nine,3
147,3153,2.00e-04,0 - zero,0
148,4022,2.00e-04,6 - six,6
