i,j,val,ci,cj
0,18,4.62e-03,0,0
0,33,2.73e-04,0,0
0,43,1.16e-06,0,0
0,50,4.76e-06,0,0
0,145,9.92e-05,0,1
0,186,1.28e-08,0,1
1,21,1.49e-05,0,0
1,75,3.90e-09,0,0
1,91,6.44e-08,0,0
1,92,1.59e-04,0,0
1,164,2.04e-10,0,1
1,173,1.64e-07,0,1
1,177,2.60e-08,0,1
1,198,4.83e-03,0,1
2,41,8.49e-09,0,0
2,64,4.66e-05,0,0
2,65,8.95e-10,0,0
2,81,1.06e-03,0,0
2,98,3.87e-03,0,0
2,176,1.47e-05,0,1
3,126,2.01e-03,0,1
3,152,2.99e-03,0,1
4,12,1.14e-08,0,0
4,52,4.96e-03,0,0
4,193,3.71e-05,0,1
5,48,2.36e-09,0,0
5,97,3.61e-08,0,0
5,110,5.00e-03,0,0
5,119,1.11e-07,0,1
5,163,1.11e-07,0,1
6,27,2.93e-03,0,0
6,153,2.09e-04,0,1
6,199,1.87e-03,0,1
7,38,1.98e-03,0,0
7,125,2.07e-03,0,1
7,129,9.43e-04,0,1
7,134,6.24e-07,0,1
8,7,2.43e-04,0,0
8,32,4.47e-03,0,0
8,101,9.33e-05,0,0
8,138,1.99e-04,0,1
9,1,1.01e-08,0,0
9,45,9.84e-04,0,0
9,147,3.97e-08,0,1
9,157,1.01e-03,0,1
9,194,3.00e-03,0,1
10,48,5.00e-03,0,0
10,97,4.53e-10,0,0
10,110,1.63e-10,0,0
11,18,1.74e-05,0,0
11,50,7.49e-07,0,0
11,145,1.75e-03,0,1
11,186,3.23e-03,0,1
12,15,5.26e-07,0,0
12,26,1.19e-05,0,0
12,73,1.91e-03,0,0
12,106,2.82e-03,0,0
12,185,2.58e-04,0,1
13,129,9.15e-05,0,1
13,149,4.91e-03,0,1
14,95,3.19e-09,0,0
14,123,1.19e-04,0,1
14,140,2.95e-03,0,1
14,170,1.93e-03,0,1
15,104,1.84e-04,0,0
15,107,4.28e-03,0,0
15,189,5.34e-04,0,1
16,22,1.58e-03,0,0
16,154,3.42e-03,0,1
17,27,8.14e-05,0,0
17,37,7.46e-09,0,0
17,153,1.78e-03,0,1
17,163,1.40e-10,0,1
17,199,3.13e-03,0,1
18,21,1.25e-08,0,0
18,127,2.47e-03,0,1
18,145,1.89e-09,0,1
18,179,1.56e-03,0,1
18,186,9.68e-04,0,1
19,115,3.38e-03,0,1
19,132,1.62e-03,0,1
20,49,1.02e-07,0,0
20,60,4.98e-03,0,0
20,139,1.20e-05,0,1
20,169,7.78e-06,0,1
21,16,8.26e-04,0,0
21,44,3.82e-03,0,0
21,46,2.50e-04,0,0
21,63,1.53e-06,0,0
21,88,2.70e-07,0,0
21,124,9.90e-05,0,1
21,178,4.83e-07,0,1
22,62,1.28e-03,0,0
22,70,3.72e-03,0,0
22,190,2.90e-09,0,1
23,25,1.22e-08,0,0
23,95,1.82e-03,0,0
23,123,1.10e-04,0,1
23,140,1.23e-06,0,1
23,170,3.07e-03,0,1
24,1,1.31e-04,0,0
24,136,4.87e-03,0,1
24,147,1.28e-07,0,1
24,159,2.06e-09,0,1
25,45,1.44e-07,0,0
25,157,3.00e-03,0,1
25,191,2.00e-03,0,1
