da,db,epsilon,dist
R0M0,R0M0,0.0001,0.00032519750904305597
R0M0,R1M0,0.0001,0.2102115452693235
R0M0,R2M0,0.0001,0.5374371117529081
R0M0,R3M0,0.0001,0.723798161694237
R0M0,R0M1,0.0001,0.00032523738701556595
R0M0,R1M1,0.0001,0.2102115452693235
R0M0,R2M1,0.0001,0.5374371117529081
R0M0,R3M1,0.0001,0.723798161694237
R0M0,R0M2,0.0001,0.00032523738701556595
R0M0,R1M2,0.0001,0.2102115452693235
R0M0,R2M2,0.0001,0.5374371117529081
R0M0,R3M2,0.0001,0.723798161694237
R0M0,R0M3,0.0001,0.00032523738701556595
R0M0,R1M3,0.0001,0.2102115452693235
R0M0,R2M3,0.0001,0.5374371117529081
R0M0,R3M3,0.0001,0.723798161694237
R1M0,R1M0,0.0001,0.00032519650747210897
R1M0,R2M0,0.0001,0.21021158496414777
R1M0,R3M0,0.0001,0.5374371167317372
R1M0,R0M1,0.0001,0.21020958386794622
R1M0,R1M1,0.0001,0.00032526512642544426
R1M0,R2M1,0.0001,0.21021158496414777
R1M0,R3M1,0.0001,0.5374371167317372
R1M0,R0M2,0.0001,0.21020958386794622
R1M0,R1M2,0.0001,0.00032526512642544426
R1M0,R2M2,0.0001,0.21021158496414777
R1M0,R3M2,0.0001,0.5374371167317372
R1M0,R0M3,0.0001,0.21020958386794622
R1M0,R1M3,0.0001,0.00032526512642544426
R1M0,R2M3,0.0001,0.21021158496414777
R1M0,R3M3,0.0001,0.5374371167317372
R2M0,R2M0,0.0001,0.00032519437173369987
R2M0,R3M0,0.0001,0.21021162761320517
R2M0,R0M1,0.0001,0.5372883290373002
R2M0,R1M1,0.0001,0.2102096209185726
R2M0,R2M1,0.0001,0.0003252184779643698
R2M0,R3M1,0.0001,0.21021162761320517
R2M0,R0M2,0.0001,0.5372883290373002
R2M0,R1M2,0.0001,0.2102096209185726
R2M0,R2M2,0.0001,0.0003252184779643698
R2M0,R3M2,0.0001,0.21021162761320517
