i,j,val,ci,cj
0,18,3.69e-03,0,0
0,33,1.29e-03,0,0
0,43,4.80e-06,0,0
0,50,1.30e-05,0,0
0,145,2.65e-06,0,1
0,186,3.01e-10,0,1
1,21,3.99e-05,0,0
1,75,5.88e-07,0,0
1,91,1.77e-05,0,0
1,92,2.38e-03,0,0
1,164,2.17e-09,0,1
1,173,1.14e-07,0,1
1,177,1.69e-09,0,1
1,198,2.56e-03,0,1
2,41,1.14e-09,0,0
2,64,3.93e-05,0,0
2,81,8.52e-04,0,0
2,98,4.11e-03,0,0
2,176,8.07e-09,0,1
3,126,1.57e-03,0,1
3,152,3.43e-03,0,1
4,12,5.73e-07,0,0
4,52,5.00e-03,0,0
4,193,5.59e-07,0,1
5,48,1.95e-08,0,0
5,97,3.31e-08,0,0
5,110,5.00e-03,0,0
5,119,1.51e-08,0,1
5,163,2.94e-08,0,1
6,27,2.75e-03,0,0
6,153,2.56e-04,0,1
6,199,2.00e-03,0,1
7,38,2.34e-03,0,0
7,125,2.08e-03,0,1
7,129,5.84e-04,0,1
7,134,2.92e-07,0,1
8,7,1.17e-04,0,0
8,32,4.79e-03,0,0
8,101,8.62e-05,0,0
8,138,2.21e-06,0,1
9,1,2.93e-10,0,0
9,45,1.05e-03,0,0
9,147,3.04e-10,0,1
9,157,1.15e-03,0,1
9,194,2.80e-03,0,1
10,48,5.00e-03,0,0
11,18,5.48e-04,0,0
11,50,7.83e-05,0,0
11,145,1.74e-03,0,1
11,186,2.64e-03,0,1
12,15,5.86e-07,0,0
12,26,1.33e-05,0,0
12,73,2.01e-03,0,0
12,106,2.88e-03,0,0
12,185,9.31e-05,0,1
13,129,2.00e-04,0,1
13,149,4.80e-03,0,1
14,95,4.28e-09,0,0
14,123,1.48e-04,0,1
14,140,2.77e-03,0,1
14,170,2.08e-03,0,1
15,104,1.41e-04,0,0
15,107,4.29e-03,0,0
15,189,5.68e-04,0,1
16,22,2.05e-03,0,0
16,154,2.95e-03,0,1
17,27,7.04e-05,0,0
17,37,1.38e-08,0,0
17,153,1.93e-03,0,1
17,199,3.00e-03,0,1
18,21,3.18e-09,0,0
18,127,1.40e-03,0,1
18,145,6.05e-09,0,1
18,179,1.29e-03,0,1
18,186,2.32e-03,0,1
19,81,1.51e-09,0,0
19,115,3.37e-03,0,1
19,132,1.63e-03,0,1
20,49,1.09e-07,0,0
20,60,4.99e-03,0,0
20,139,6.83e-07,0,1
20,169,8.06e-06,0,1
21,16,1.40e-03,0,0
21,44,3.24e-03,0,0
21,46,3.57e-04,0,0
21,63,3.19e-06,0,0
21,88,4.21e-07,0,0
21,124,2.90e-06,0,1
21,178,9.33e-10,0,1
22,62,1.25e-03,0,0
22,70,3.75e-03,0,0
23,25,9.41e-09,0,0
23,95,1.96e-03,0,0
23,123,1.21e-04,0,1
23,140,1.09e-06,0,1
23,170,2.92e-03,0,1
24,1,1.04e-04,0,0
24,136,4.90e-03,0,1
24,147,2.86e-08,0,1
24,159,5.59e-09,0,1
25,45,1.33e-07,0,0
25,157,2.76e-03,0,1
25,191,2.24e-03,0,1
26,104,1.47e-04,0,0
26,107,7.05e-04,0,0
26,189,4.15e-03,0,1
27,45,7.21e-07,0,0
27,56,3.54e-08,0,0
27,143,4.96e-03,0,1
27,157,3.85e-05,0,1
28,28,2.59e-06,0,0
28,47,4.76e-03,0,0
28,77,4.29e-05,0,0
28,118,2.69e-08,0,1
28,121,1.72e-04,0,1
28,190,1.90e-05,0,1
29,21,7.63e-04,0,0
29,92,3.05e-04,0,0
29,111,8.32e-05,0,0
29,173,3.85e-03,0,1
30,41,7.35e-07,0,0
30,64,4.96e-03,0,0
30,81,3.60e-05,0,0
31,45,3.95e-03,0,0
31,157,1.05e-03,0,1
32,38,2.54e-03,0,0
32,125,2.46e-03,0,1
32,129,2.94e-09,0,1
33,21,4.19e-03,0,0
33,75,3.89e-06,0,0
33,92,6.69e-10,0,0
33,127,8.06e-04,0,1
33,145,2.51e-10,0,1
33,173,4.02e-06,0,1
33,186,8.75e-10,0,1
34,4,5.00e-03,0,0
35,1,2.05e-03,0,0
35,84,2.16e-04,0,0
35,136,1.05e-04,0,1
35,147,1.01e-05,0,1
35,159,2.62e-03,0,1
36,49,1.30e-03,0,0
36,59,8.23e-06,0,0
36,60,3.00e-09,0,0
36,169,3.69e-03,0,1
37,42,1.06e-09,0,0
37,150,5.00e-03,0,1
38,55,4.72e-03,0,0
38,135,5.43e-10,0,1
38,155,2.81e-04,0,1
38,184,1.81e-06,0,1
39,112,5.00e-03,0,0
39,165,1.81e-10,0,1
39,166,7.78e-08,0,1
40,7,3.39e-06,0,0
40,32,7.12e-05,0,0
40,101,4.91e-03,0,0
40,138,1.61e-07,0,1
40,149,1.51e-05,0,1
41,5,3.59e-07,0,0
41,85,4.93e-03,0,0
41,94,6.73e-05,0,0
42,84,3.79e-03,0,0
42,86,2.15e-04,0,0
42,137,9.96e-04,0,1
42,159,9.65e-08,0,1
43,50,8.02e-04,0,0
43,75,3.08e-03,0,0
43,145,1.12e-03,0,1
43,186,2.54e-08,0,1
44,28,4.25e-03,0,0
44,121,7.48e-04,0,1
44,154,1.42e-08,0,1
45,29,7.69e-04,0,0
45,75,1.26e-07,0,0
45,82,1.42e-03,0,0
45,91,2.81e-03,0,0
45,116,1.23e-06,0,1
46,7,3.09e-08,0,0
46,13,1.51e-10,0,0
46,32,1.28e-10,0,0
