i,j,val,ci,cj
0,529,5.00e-04,1 - one,1
1,1716,5.00e-04,5 - five,5
2,1357,5.00e-04,4 - four,4
3,1059,5.00e-04,4 - four,4
4,109,5.00e-04,0 - zero,0
5,1551,5.00e-04,6 - six,6
6,323,5.00e-04,1 - one,1
7,1807,5.00e-04,5 - five,5
8,467,5.00e-04,5 - five,0
9,71,5.00e-04,6 - six,6
10,605,5.00e-04,0 - zero,0
11,475,5.00e-04,8 - eight,8
12,1740,5.00e-04,1 - one,1
13,298,5.00e-04,9 - nine,9
14,1022,5.00e-04,4 - four,4
15,60,5.00e-04,7 - seven,7
16,362,5.00e-04,1 - one,1
17,1099,5.00e-04,2 - two,2
18,1198,5.00e-04,6 - six,6
19,524,5.00e-04,2 - two,2
20,1063,5.00e-04,7 - seven,7
21,1205,5.00e-04,0 - zero,0
22,766,5.00e-04,3 - three,0
23,1275,5.00e-04,3 - three,3
24,440,5.00e-04,7 - seven,7
25,14,5.00e-04,1 - one,1
26,580,5.00e-04,1 - one,1
27,42,5.00e-04,4 - four,4
28,185,5.00e-04,2 - two,2
29,1309,5.00e-04,2 - two,2
30,684,5.00e-04,6 - six,6
31,1311,5.00e-04,0 - zero,0
32,904,5.00e-04,4 - four,4
33,1343,5.00e-04,9 - nine,4
34,596,5.00e-04,9 - nine,9
35,570,5.00e-04,7 - seven,7
36,177,5.00e-04,3 - three,3
37,1369,5.00e-04,5 - five,0
38,1497,5.00e-04,4 - four,4
39,175,5.00e-04,6 - six,6
40,160,5.00e-04,3 - three,3
41,1683,5.00e-04,4 - four,4
42,717,5.00e-04,2 - two,2
43,89,5.00e-04,3 - three,3
44,1064,5.00e-04,1 - one,1
45,1181,5.00e-04,6 - six,6
46,786,5.00e-04,2 - two,2
47,287,5.00e-04,0 - zero,0
48,862,5.00e-04,6 - six,6
49,106,5.00e-04,0 - zero,0
50,804,5.00e-04,6 - six,6
51,1037,5.00e-04,6 - six,6
52,1492,5.00e-04,1 - one,1
53,1176,5.00e-04,3 - three,3
54,951,5.00e-04,9 - nine,9
55,113,5.00e-04,6 - six,6
56,576,5.00e-04,1 - one,1
57,1568,5.00e-04,0 - zero,0
58,769,5.00e-04,4 - four,4
59,447,5.00e-04,5 - five,0
60,856,5.00e-04,7 - seven,7
61,997,5.00e-04,4 - four,4
62,365,5.00e-04,2 - two,2
63,966,5.00e-04,7 - seven,7
64,132,5.00e-04,9 - nine,1
65,327,5.00e-04,4 - four,4
66,1318,5.00e-04,0 - zero,0
67,585,5.00e-04,7 - seven,7
68,236,5.00e-04,0 - zero,0
69,522,5.00e-04,0 - zero,0
70,416,5.00e-04,1 - one,1
71,704,5.00e-04,0 - zero,0
