i,j,val,ci,cj
0,552,5.00e-04,1 - one,1
1,598,5.00e-04,9 - nine,9
2,847,5.00e-04,1 - one,1
3,1527,5.00e-04,3 - three,3
4,210,5.00e-04,9 - nine,9
5,276,5.00e-04,8 - eight,8
6,708,5.00e-04,7 - seven,7
7,948,5.00e-04,9 - nine,9
8,2,5.00e-04,3 - three,3
9,1974,5.00e-04,0 - zero,0
10,805,5.00e-04,0 - zero,0
11,1980,5.00e-04,3 - three,3
12,933,5.00e-04,7 - seven,7
13,556,5.00e-04,1 - one,1
14,1147,5.00e-04,7 - seven,7
15,1622,5.00e-04,9 - nine,3
16,1178,5.00e-04,5 - five,0
17,414,5.00e-04,3 - three,3
18,1123,5.00e-04,8 - eight,8
19,1121,5.00e-04,3 - three,3
20,78,5.00e-04,5 - five,0
21,48,5.00e-04,2 - two,2
22,1086,5.00e-04,8 - eight,8
23,434,5.00e-04,7 - seven,7
24,1840,5.00e-04,2 - two,2
25,990,5.00e-04,6 - six,6
26,1195,5.00e-04,3 - three,3
27,240,5.00e-04,9 - nine,9
28,1551,5.00e-04,6 - six,6
29,1293,5.00e-04,5 - five,3
30,1083,5.00e-04,5 - five,5
31,300,5.00e-04,8 - eight,8
32,963,5.00e-04,9 - nine,9
33,778,5.00e-04,4 - four,4
34,1124,5.00e-04,3 - three,3
35,1623,5.00e-04,5 - five,5
36,477,5.00e-04,0 - zero,0
37,773,5.00e-04,4 - four,4
38,687,5.00e-04,2 - two,2
39,682,5.00e-04,6 - six,6
40,1411,5.00e-04,4 - four,4
41,291,5.00e-04,3 - three,5
42,9,5.00e-04,5 - five,3
43,1629,5.00e-04,3 - three,2
44,1126,5.00e-04,3 - three,3
45,775,5.00e-04,8 - eight,8
46,1826,5.00e-04,6 - six,1
47,1281,5.00e-04,7 - seven,7
48,1088,5.00e-04,3 - three,5
49,1324,5.00e-04,0 - zero,0
50,1091,5.00e-04,5 - five,5
51,913,5.00e-04,7 - seven,7
52,801,5.00e-04,6 - six,6
