i,j,val,ci,cj
0,1081,5.00e-04,4 - four,9
1,1617,5.00e-04,1 - one,3
2,603,5.00e-04,6 - six,9
3,1349,5.00e-04,0 - zero,0
4,1913,5.00e-04,4 - four,1
5,1613,5.00e-04,6 - six,4
6,1782,5.00e-04,5 - five,8
7,913,5.00e-04,6 - six,7
8,676,5.00e-04,8 - eight,4
9,67,5.00e-04,4 - four,9
10,763,5.00e-04,7 - seven,6
11,101,5.00e-04,7 - seven,6
12,165,5.00e-04,5 - five,2
13,1701,5.00e-04,7 - seven,8
14,1115,5.00e-04,7 - seven,6
15,1686,5.00e-04,0 - zero,0
16,1571,5.00e-04,0 - zero,0
17,804,5.00e-04,7 - seven,6
18,550,5.00e-04,4 - four,1
19,1710,5.00e-04,5 - five,8
20,1178,5.00e-04,3 - three,0
21,1944,5.00e-04,2 - two,5
22,1257,5.00e-04,6 - six,7
23,648,5.00e-04,2 - two,5
24,588,5.00e-04,8 - eight,8
25,1527,5.00e-04,3 - three,3
26,1253,5.00e-04,4 - four,2
27,1976,5.00e-04,8 - eight,9
28,1622,5.00e-04,1 - one,3
29,143,5.00e-04,9 - nine,9
30,812,5.00e-04,6 - six,9
31,1754,5.00e-04,9 - nine,1
32,853,5.00e-04,9 - nine,9
33,649,5.00e-04,6 - six,2
34,1946,5.00e-04,2 - two,0
35,1062,5.00e-04,4 - four,1
36,1330,5.00e-04,7 - seven,5
37,488,5.00e-04,8 - eight,4
38,541,5.00e-04,8 - eight,9
39,911,5.00e-04,7 - seven,5
40,1770,5.00e-04,4 - four,8
41,1358,5.00e-04,9 - nine,1
42,1124,5.00e-04,1 - one,3
43,831,5.00e-04,7 - seven,6
44,997,5.00e-04,5 - five,4
45,100,5.00e-04,4 - four,1
46,721,5.00e-04,9 - nine,1
47,663,5.00e-04,7 - seven,5
48,1066,5.00e-04,4 - four,2
49,1529,5.00e-04,3 - three,0
50,379,5.00e-04,9 - nine,1
51,1685,5.00e-04,7 - seven,5
52,362,5.00e-04,9 - nine,1
53,1834,5.00e-04,5 - five,8
54,1591,5.00e-04,0 - zero,0
55,581,5.00e-04,6 - six,7
56,968,5.00e-04,1 - one,9
57,50,5.00e-04,0 - zero,0
58,1445,5.00e-04,2 - two,4
59,1035,5.00e-04,1 - one,3
60,1202,5.00e-04,7 - seven,5
61,153,5.00e-04,8 - eight,8
62,695,5.00e-04,4 - four,1
63,1637,5.00e-04,7 - seven,6
64,805,5.00e-04,0 - zero,0
65,865,5.00e-04,5 - five,8
66,791,5.00e-04,9 - nine,1
67,1155,5.00e-04,5 - five,8
68,65,5.00e-04,6 - six,4
69,1512,5.00e-04,8 - eight,4
70,87,5.00e-04,4 - four,1
71,929,5.00e-04,8 - eight,4
72,1160,5.00e-04,5 - five,4
73,784,5.00e-04,6 - six,3
74,940,5.00e-04,4 - four,9
75,1286,5.00e-04,1 - one,3
76,267,5.00e-04,2 - two,4
77,592,5.00e-04,3 - three,0
78,1744,5.00e-04,4 - four,1
79,843,5.00e-04,7 - seven,6
80,506,5.00e-04,6 - six,7
81,1761,5.00e-04,3 - three,0
82,1337,5.00e-04,4 - four,2
83,1693,5.00e-04,8 - eight,2
84,1138,5.00e-04,6 - six,2
85,1666,5.00e-04,0 - zero,0
86,1034,5.00e-04,4 - four,1
87,1142,5.00e-04,7 - seven,6
88,669,5.00e-04,1 - one,7
89,112,5.00e-04,5 - five,2
90,206,5.00e-04,0 - zero,0
91,1063,5.00e-04,1 - one,7
92,9,5.00e-04,1 - one,3
93,967,5.00e-04,7 - seven,6
94,285,5.00e-04,2 - two,4
95,12,5.00e-04,6 - six,7
96,1132,5.00e-04,9 - nine,1
97,1064,5.00e-04,4 - four,1
98,733,5.00e-04,7 - seven,8
99,1070,5.00e-04,8 - eight,4
100,909,5.00e-04,8 - eight,8
101,289,5.00e-04,9 - nine,9
102,245,5.00e-04,7 - seven,6
103,1951,5.00e-04,1 - one,7
104,1080,5.00e-04,2 - two,3
105,1171,5.00e-04,0 - zero,0
106,1384,5.00e-04,7 - seven,6
107,1279,5.00e-04,7 - seven,6
108,470,5.00e-04,0 - zero,0
109,547,5.00e-04,9 - nine,1
110,996,5.00e-04,9 - nine,1
111,1218,5.00e-04,8 - eight,2
112,1176,5.00e-04,1 - one,3
113,748,5.00e-04,2 - two,0
114,474,5.00e-04,2 - two,5
115,327,5.00e-04,5 - five,4
116,126,5.00e-04,8 - eight,5
117,286,5.00e-04,5 - five,2
118,18,5.00e-04,7 - seven,6
119,1006,5.00e-04,3 - three,5
120,600,5.00e-04,3 - three,5
121,1551,5.00e-04,7 - seven,6
